Draft Year,Round,Pick,Name,Pro Bowler,Career Receptions,Career Yards,Career Touchdowns,Career Games,Proj. 5,Proj. 15,Proj. 32,Proj. 64,Proj. 98,Proj. 135,Proj. 170,Proj. 200,Height (m),Weight (lb),40 Yard Dash,Broad Jump,Vertical Jump,Bench Press,Arm Length,Hand Size,Receptions,Yards,Touchdowns,More Then 3 years in college,Big School,Small School,Major Injury,Off Field Issues,National Championship,QB Drafted,WR selected with previous pick
2018,7,256,Trey Quinn,0,35,273,2,15,0,0,0,0,0,0,1,0,1.83,203,4.55,116,33.5,17,30.75,10.125,136,1512,13,0,0,0,0,0,0,0,1
2017,1,5,Corey Davis,0,142,1867,6,42,0,0,1,0,0,0,0,0,1.88,209,,,,,33,9.125,331,5278,52,1,0,0,0,0,0,0,0
2017,1,7,Mike Williams,0,103,1760,12,41,0,1,0,0,0,0,0,0,1.93,218,4.53,121,32.5,15,33.375,9.375,177,2727,21,1,1,0,1,0,1,1,0
2017,1,9,John Ross,0,49,716,10,24,0,0,1,0,0,0,0,0,1.8,188,4.22,,37,,31.5,8.75,114,1729,22,1,1,0,1,0,0,0,0
2017,2,37,Zay Jones,0,110,1184,9,46,0,0,0,1,0,0,0,0,1.85,201,4.45,133,36.5,15,32.5,9,399,4279,23,1,0,0,0,0,0,0,0
2017,2,40,Curtis Samuel,0,108,1236,11,28,0,0,0,1,0,0,0,0,1.8,196,4.31,119,37,18,31.25,9.5,172,1286,15,0,1,0,0,0,1,1,0
2017,2,62,Juju Smith-Schuster,1,211,2895,17,42,0,0,0,1,0,0,0,0,1.85,215,4.54,120,32.5,15,32.875,10.5,213,3092,25,0,1,0,0,0,0,1,0
2017,3,69,Cooper Kupp,0,196,2596,21,39,0,0,0,0,1,0,0,0,1.88,204,4.62,,31,,31.5,9.5,428,6464,73,1,0,0,0,0,0,0,0
2017,3,72,Taywan Taylor,0,53,697,2,32,0,0,0,0,0,0,0,1,1.85,203,4.5,132,33.5,13,32.625,9.25,253,4234,41,1,0,0,0,0,0,1,0
2017,3,79,ArDarius Stewart,0,6,82,0,15,0,0,0,0,1,0,0,0,1.85,204,4.49,,34,,32.5,9.375,129,1713,12,0,1,0,0,0,1,0,0
2017,3,82,Carlos Henderson,0,0,0,0,0,0,0,0,0,0,1,0,0,1.78,199,4.46,131,36,13,31.375,9.125,147,2878,28,0,0,0,0,1,0,0,0
2017,3,84,Chris Godwin,1,179,2700,17,46,0,0,0,1,0,0,0,0,1.85,209,4.42,126,36,19,31.625,9.125,154,2421,18,0,1,0,0,0,0,1,0
2017,3,96,Kenny Golladay,1,163,2730,19,42,0,0,0,0,0,1,0,0,1.93,218,4.5,120,35.5,18,32,9.75,160,2285,18,0,0,0,0,0,0,0,0
2017,3,98,Chad Williams,0,20,202,1,17,0,0,0,0,0,0,0,1,1.85,207,4.43,123,35.5,,32,9.75,210,3062,28,1,0,1,0,1,0,0,0
2017,3,106,Amara Darboh,0,8,71,0,16,0,0,0,0,0,1,0,0,1.88,214,4.45,124,36,17,32.625,9.875,151,2062,14,1,1,0,1,0,0,0,0
2017,4,110,Dede Westbrook,0,159,1716,9,38,0,0,0,0,1,0,0,0,1.83,178,4.34,120,34.5,8,30.625,9,126,2267,21,0,1,0,0,1,0,1,0
2017,4,117,Josh Reynolds,0,61,832,7,48,0,0,0,0,0,1,0,0,1.9,194,4.52,,37,,31.5,9.375,164,2788,30,0,0,0,0,1,0,0,0
